,time,nwp_ws,tower_ws,power
0,2022/10/29 0:00,1.73,0,0
1,2022/10/29 0:15,1.76,2.52,0
2,2022/10/29 0:30,1.79,2.52,0
3,2022/10/29 0:45,1.82,2.52,0
4,2022/10/29 1:00,1.85,2.52,0
5,2022/10/29 1:15,1.87,2.9,0
6,2022/10/29 1:30,1.89,2.52,0
7,2022/10/29 1:45,1.92,2.52,0
8,2022/10/29 2:00,1.94,2.52,0
9,2022/10/29 2:15,1.96,2.9,0
10,2022/10/29 2:30,1.98,2.52,0
11,2022/10/29 2:45,2.01,2.52,0
12,2022/10/29 3:00,2.02,2.14,0
13,2022/10/29 3:15,2.04,2.14,0
14,2022/10/29 3:30,2.06,2.52,0
15,2022/10/29 3:45,2.09,2.14,0
16,2022/10/29 4:00,2.11,2.14,0
17,2022/10/29 4:15,2.14,2.14,0
18,2022/10/29 4:30,2.17,2.14,0
19,2022/10/29 4:45,2.21,1.75,0
20,2022/10/29 5:00,2.24,1.37,0
21,2022/10/29 5:15,2.29,1.37,0
22,2022/10/29 5:30,2.33,1.37,0
23,2022/10/29 5:45,2.38,1.37,0
24,2022/10/29 6:00,2.5,1.37,0
25,2022/10/29 6:15,2.57,1.37,0
26,2022/10/29 6:30,2.62,1.37,0
27,2022/10/29 6:45,2.66,1.37,0
28,2022/10/29 7:00,2.69,1.75,0
29,2022/10/29 7:15,2.71,1.75,0
30,2022/10/29 7:30,2.73,2.14,0
31,2022/10/29 7:45,2.73,2.52,0
32,2022/10/29 8:00,2.73,2.52,0
33,2022/10/29 8:15,2.71,3.28,0
34,2022/10/29 8:30,2.68,2.52,0
35,2022/10/29 8:45,2.65,2.52,0
36,2022/10/29 9:00,2.6,2.14,0
37,2022/10/29 9:15,2.54,1.37,0
38,2022/10/29 9:30,2.48,1.37,0
39,2022/10/29 9:45,2.41,2.14,0
40,2022/10/29 10:00,2.33,1.75,0
41,2022/10/29 10:15,2.24,1.75,0
42,2022/10/29 10:30,2.16,2.52,0
43,2022/10/29 10:45,2.08,2.9,0
44,2022/10/29 11:00,2.01,2.14,0
45,2022/10/29 11:15,1.94,2.9,0
46,2022/10/29 11:30,1.88,1.75,0
47,2022/10/29 11:45,1.83,2.52,0
48,2022/10/29 12:00,1.75,1.75,0
49,2022/10/29 12:15,1.71,2.52,0
50,2022/10/29 12:30,1.68,2.52,0
51,2022/10/29 12:45,1.67,2.9,0
52,2022/10/29 13:00,1.67,2.9,0
53,2022/10/29 13:15,1.69,1.75,0
