时间,实际功率,NWP-110米预测风速,NWP-110米预测风向,NWP-低云量,NWP-中云量,NWP-高云量,NWP-总云量,NWP-总降水强度,NWP-温度,NWP-湿度,NWP-气压
2024/1/1 0:00,6.9,2.9677,121.8845,1.1436,-0.1982,43.6645,43.85,0.0055,-17.56,78.9918,1014.74
2024/1/1 0:15,10.82,3.1565,127.74,1.1482,-0.2091,45.4336,45.5673,0.0055,-17.5855,78.9891,1014.56
2024/1/1 0:30,4.47,3.2517,133.3336,1.1527,-0.2,47.1345,47.2145,0.0055,-17.6036,78.9582,1014.3755
2024/1/1 0:45,13.97,3.4019,138.7345,1.1564,-0.1245,48.7,48.7336,0.0055,-17.6182,78.9191,1014.1918
2024/1/1 1:00,36.16,3.6137,143.7545,1.16,0.0636,50.0718,50.0764,0.0055,-17.6236,78.8491,1014.0064
2024/1/1 1:15,33.58,3.7485,148.43,1.1627,0.4109,51.2364,51.23,0.0045,-17.6182,78.7445,1013.8173
2024/1/1 1:30,34.53,3.9295,152.7845,1.1655,0.9682,52.2291,52.2227,0.0036,-17.6027,78.6055,1013.6255
2024/1/1 1:45,34.52,4.0738,156.8564,1.1673,1.7855,53.0864,53.0845,0.0027,-17.5773,78.4373,1013.4318
2024/1/1 2:00,34.36,4.1991,160.68,1.1691,2.9155,53.8455,53.8427,0.0018,-17.5427,78.2436,1013.2391
2024/1/1 2:15,33.14,4.3309,164.2636,1.17,4.4127,54.5236,54.5109,0.0009,-17.5,78.0255,1013.0455
2024/1/1 2:30,30.51,4.4786,167.5755,1.17,6.2518,55.1136,55.0882,0,-17.4482,77.7818,1012.8491
2024/1/1 2:45,43.36,4.68,170.5745,1.1664,8.3264,55.5991,55.5727,0,-17.3882,77.5073,1012.6491
2024/1/1 3:00,51.35,4.7835,173.2218,1.1591,10.53,55.9618,55.9627,0,-17.3182,77.1945,1012.4436
2024/1/1 3:15,41.47,4.8766,175.5,1.1455,12.7309,56.1882,56.2582,0,-17.2382,76.8418,1012.2318
2024/1/1 3:30,34.24,5.0402,177.4182,1.1264,14.82,56.2809,56.4591,0,-17.1509,76.4545,1012.0145
2024/1/1 3:45,33.12,5.4336,179.2336,1.1018,16.7382,56.26,56.5636,0,-17.0627,76.06,1011.7955
2024/1/1 4:00,35.17,5.5747,180.8455,1.0755,18.4255,56.1509,56.5791,0,-16.9736,75.6755,1011.5791
2024/1/1 4:15,43.08,5.8252,182.2591,1.0482,19.8191,55.9818,56.5145,0,-16.8845,75.3073,1011.3664
2024/1/1 4:30,53.2,6.0655,183.4755,1.02,20.8864,55.7427,56.3791,0,-16.7964,74.9545,1011.1573
2024/1/1 4:45,66.69,6.3542,184.5055,0.9882,21.6245,55.3827,56.1809,0,-16.7073,74.6136,1010.9509
2024/1/1 5:00,64.84,6.5486,185.3573,0.95,22.03,54.8536,55.9291,0,-16.6155,74.2818,1010.7491
2024/1/1 5:15,65.65,6.6369,186.05,0.9055,22.1809,54.1145,55.6318,0,-16.5218,73.9573,1010.5509
2024/1/1 5:30,73.69,6.7479,186.6018,0.8564,22.2064,53.2155,55.3018,0,-16.4255,73.6445,1010.3564
2024/1/1 5:45,83.81,6.9219,187.02,0.8055,22.2,52.2891,54.9536,0,-16.3273,73.3464,1010.1645
2024/1/1 6:00,86.49,7.1466,187.3127,0.7591,22.2582,51.4682,54.6036,0,-16.2282,73.0673,1009.9764
2024/1/1 6:15,90.35,7.2708,187.4827,0.7191,22.4273,50.8682,54.2673,0,-16.1273,72.8064,1009.7918
2024/1/1 6:30,93.09,7.4492,187.5409,0.6845,22.6527,50.4973,53.9545,0,-16.0218,72.5573,1009.6109
2024/1/1 6:45,91.09,7.7694,187.62,0.6527,22.8291,50.2691,53.6618,0,-15.9127,72.3055,1009.43
2024/1/1 7:00,92.68,7.8802,187.77,0.62,22.8518,50.0909,53.3827,0,-15.7709,71.9627,1009.25
2024/1/1 7:15,92.42,8.0904,187.9982,0.5845,22.5855,49.9082,53.1091,0,-15.5936,71.5236,1009.0709
2024/1/1 7:30,92.4,8.1594,188.3009,0.5491,22.0191,49.7545,52.8445,0,-15.3809,70.9882,1008.8945
2024/1/1 7:45,93.51,8.2399,188.6709,0.5173,21.3036,49.71,52.5982,0,-15.1345,70.3564,1008.7191
2024/1/1 8:00,95.23,8.3743,189.1009,0.4909,20.5864,49.8564,52.3809,0,-14.8545,69.6273,1008.5473
2024/1/1 8:15,94.78,8.2996,189.5918,0.4718,20.0473,50.19,52.2,0,-14.5409,68.8009,1008.3782
2024/1/1 8:30,95.28,8.2288,190.1527,0.4573,19.7382,50.6009,52.0464,0,-14.1936,67.8782,1008.2127
2024/1/1 8:45,95.39,8.0142,190.7909,0.4418,19.5436,50.9491,51.8973,0,-13.8127,66.8609,1008.0491
2024/1/1 9:00,95.2,7.8311,191.5145,0.42,19.35,51.0973,51.73,0,-13.3973,65.7527,1007.8864
2024/1/1 9:15,83.36,7.6853,192.32,0.39,19.0964,50.9955,51.5291,0,-12.9491,64.5555,1007.7227
